,task_00,task_01,task_02,task_03,task_04,task_05,task_06,task_07,task_08,task_09
after_task_00,0.9266666666666666,,,,,,,,,
after_task_01,0.5622222222222222,0.9488888888888889,,,,,,,,
after_task_02,0.5044444444444445,0.6666666666666666,0.96,,,,,,,
after_task_03,0.7133333333333334,0.7755555555555556,0.8044444444444444,0.9422222222222222,,,,,,
after_task_04,0.7044444444444444,0.7977777777777778,0.7755555555555556,0.6666666666666666,0.9622222222222222,,,,,
after_task_05,0.7888888888888889,0.8266666666666667,0.8133333333333334,0.7555555555555555,0.8444444444444444,0.9377777777777778,,,,
after_task_06,0.6644444444444444,0.7711111111111111,0.6977777777777778,0.7444444444444445,0.7533333333333333,0.7488888888888889,0.9044444444444445,,,
after_task_07,0.8022222222222222,0.7844444444444445,0.8644444444444445,0.8155555555555556,0.86,0.8466666666666667,0.7133333333333334,0.8844444444444445,,
after_task_08,0.7422222222222222,0.7933333333333333,0.8111111111111111,0.7688888888888888,0.8288888888888889,0.8222222222222222,0.7222222222222222,0.7911111111111111,0.8644444444444445,
after_task_09,0.7711111111111111,0.7755555555555556,0.7866666666666666,0.7933333333333333,0.8533333333333334,0.8066666666666666,0.7244444444444444,0.8088888888888889,0.7155555555555555,0.8955555555555555
