task,best_accuracy,final_accuracy,forgetting
task_00,0.9266666666666666,0.7711111111111111,0.15555555555555556
task_01,0.9488888888888888,0.7755555555555556,0.17333333333333323
task_02,0.96,0.7866666666666666,0.17333333333333334
task_03,0.9422222222222222,0.7933333333333333,0.14888888888888885
task_04,0.9622222222222222,0.8533333333333334,0.10888888888888881
task_05,0.9377777777777778,0.8066666666666666,0.13111111111111118
task_06,0.9044444444444444,0.7244444444444444,0.17999999999999994
task_07,0.8844444444444445,0.8088888888888889,0.0755555555555556
task_08,0.8644444444444445,0.7155555555555555,0.14888888888888896
task_09,0.8955555555555555,0.8955555555555555,0.0
