,task_00,task_01,task_02,task_03,task_04,task_05,task_06,task_07,task_08,task_09
after_task_00,0.9288888888888889,,,,,,,,,
after_task_01,0.42,0.9488888888888889,,,,,,,,
after_task_02,0.4888888888888889,0.6577777777777778,0.96,,,,,,,
after_task_03,0.6288888888888889,0.6866666666666666,0.6866666666666666,0.9422222222222222,,,,,,
after_task_04,0.7044444444444444,0.7866666666666666,0.7688888888888888,0.6622222222222223,0.9622222222222222,,,,,
after_task_05,0.7266666666666667,0.7333333333333333,0.7533333333333333,0.6688888888888889,0.7933333333333333,0.9488888888888889,,,,
after_task_06,0.6466666666666666,0.7555555555555555,0.6888888888888889,0.7422222222222222,0.7444444444444445,0.7488888888888889,0.9133333333333333,,,
after_task_07,0.7666666666666667,0.6977777777777778,0.8244444444444444,0.7911111111111111,0.7822222222222223,0.7933333333333333,0.6955555555555556,0.9222222222222223,,
after_task_08,0.7377777777777778,0.7866666666666666,0.8133333333333334,0.7644444444444445,0.8177777777777778,0.8177777777777778,0.7244444444444444,0.7933333333333333,0.8711111111111111,
after_task_09,0.7644444444444445,0.7666666666666667,0.7866666666666666,0.7911111111111111,0.8466666666666667,0.7955555555555556,0.7155555555555555,0.8133333333333334,0.7044444444444444,0.8977777777777778
