,task_00,task_01,task_02,task_03,task_04,task_05,task_06,task_07,task_08,task_09
after_task_00,0.27555555555555555,,,,,,,,,
after_task_01,0.27555555555555555,0.0,,,,,,,,
after_task_02,0.74,0.5555555555555556,0.6066666666666667,,,,,,,
after_task_03,0.74,0.5555555555555556,0.6066666666666667,0.0,,,,,,
after_task_04,0.72,0.8311111111111111,0.8288888888888889,0.5244444444444445,0.5355555555555556,,,,,
after_task_05,0.72,0.8311111111111111,0.8288888888888889,0.5244444444444445,0.5355555555555556,0.0,,,,
after_task_06,0.7044444444444444,0.82,0.8088888888888889,0.6377777777777778,0.7488888888888889,0.5866666666666667,0.27111111111111114,,,
after_task_07,0.7044444444444444,0.82,0.8088888888888889,0.6377777777777778,0.7488888888888889,0.5866666666666667,0.27111111111111114,0.0,,
after_task_08,0.6866666666666666,0.8155555555555556,0.7644444444444445,0.68,0.7488888888888889,0.7533333333333333,0.5711111111111111,0.3466666666666667,0.3288888888888889,
after_task_09,0.6888888888888889,0.7622222222222222,0.7755555555555556,0.6711111111111111,0.7511111111111111,0.7933333333333333,0.6022222222222222,0.6488888888888888,0.5933333333333334,0.3333333333333333
