task,best_accuracy,final_accuracy,forgetting
task_00,0.88,0.7533333333333333,0.1266666666666667
task_01,0.9488888888888888,0.7644444444444445,0.1844444444444443
task_02,0.9533333333333334,0.7933333333333333,0.16000000000000003
task_03,0.9377777777777778,0.7933333333333333,0.1444444444444445
task_04,0.9311111111111112,0.8333333333333334,0.09777777777777785
task_05,0.9555555555555556,0.7777777777777778,0.1777777777777778
task_06,0.9222222222222224,0.7288888888888889,0.19333333333333347
task_07,0.92,0.78,0.14
task_08,0.9111111111111112,0.7133333333333334,0.19777777777777783
task_09,0.8977777777777778,0.8977777777777778,0.0
