,task_00,task_01,task_02,task_03,task_04,task_05,task_06,task_07,task_08,task_09
after_task_00,0.7355555555555555,,,,,,,,,
after_task_01,0.0,0.8,,,,,,,,
after_task_02,0.0,0.0,0.9044444444444445,,,,,,,
after_task_03,0.0044444444444444444,0.0022222222222222222,0.0,0.8377777777777777,,,,,,
after_task_04,0.035555555555555556,0.017777777777777778,0.04888888888888889,0.022222222222222223,0.8644444444444445,,,,,
after_task_05,0.12,0.11777777777777777,0.08666666666666667,0.03111111111111111,0.15333333333333332,0.8888888888888888,,,,
after_task_06,0.06222222222222222,0.13555555555555557,0.06444444444444444,0.10222222222222223,0.13777777777777778,0.18666666666666668,0.8777777777777778,,,
after_task_07,0.21777777777777776,0.12666666666666668,0.19111111111111112,0.19555555555555557,0.19111111111111112,0.24222222222222223,0.08222222222222222,0.8355555555555556,,
after_task_08,0.16666666666666666,0.17777777777777778,0.17777777777777778,0.17333333333333334,0.28444444444444444,0.21777777777777776,0.14222222222222222,0.22444444444444445,0.9,
after_task_09,0.22444444444444445,0.18,0.20222222222222222,0.23333333333333334,0.29333333333333333,0.26,0.16666666666666666,0.28,0.2088888888888889,0.8111111111111111
