task,best_accuracy,final_accuracy,forgetting
task_00,0.7355555555555555,0.2244444444444444,0.5111111111111111
task_01,0.8,0.18,0.6200000000000001
task_02,0.9044444444444444,0.2022222222222222,0.7022222222222222
task_03,0.8377777777777777,0.2333333333333333,0.6044444444444445
task_04,0.8644444444444445,0.2933333333333333,0.5711111111111111
task_05,0.8888888888888888,0.26,0.6288888888888888
task_06,0.8777777777777778,0.1666666666666666,0.7111111111111111
task_07,0.8355555555555556,0.28,0.5555555555555556
task_08,0.9,0.2088888888888889,0.6911111111111111
task_09,0.8111111111111111,0.8111111111111111,0.0
