,task_00,task_01,task_02,task_03,task_04,task_05,task_06,task_07,task_08,task_09
after_task_00,0.06888888888888889,,,,,,,,,
after_task_01,0.06888888888888889,0.0,,,,,,,,
after_task_02,0.14,0.0,0.0,,,,,,,
after_task_03,0.14,0.0,0.0,0.0,,,,,,
after_task_04,0.29555555555555557,0.0,0.0,0.0,0.0,,,,,
after_task_05,0.29555555555555557,0.0,0.0,0.0,0.0,0.0,,,,
after_task_06,0.36666666666666664,0.006666666666666667,0.044444444444444446,0.008888888888888889,0.0,0.0,0.0,,,
after_task_07,0.36666666666666664,0.006666666666666667,0.044444444444444446,0.008888888888888889,0.0,0.0,0.0,0.0,,
after_task_08,0.5844444444444444,0.36444444444444446,0.28444444444444444,0.2288888888888889,0.1622222222222222,0.017777777777777778,0.0,0.0,0.0,
after_task_09,0.6422222222222222,0.5711111111111111,0.5511111111111111,0.4711111111111111,0.41555555555555557,0.3288888888888889,0.07555555555555556,0.008888888888888889,0.022222222222222223,0.0
