task,best_accuracy,final_accuracy,forgetting
task_00,0.7288888888888889,0.1777777777777777,0.5511111111111112
task_01,0.9133333333333332,0.1844444444444444,0.7288888888888888
task_02,0.8777777777777778,0.1866666666666666,0.6911111111111112
task_03,0.8622222222222222,0.2044444444444444,0.6577777777777778
task_04,0.8488888888888889,0.2511111111111111,0.5977777777777777
task_05,0.9266666666666666,0.2377777777777777,0.6888888888888889
task_06,0.8688888888888889,0.1311111111111111,0.7377777777777779
task_07,0.8711111111111111,0.3,0.5711111111111111
task_08,0.9088888888888887,0.2111111111111111,0.6977777777777776
task_09,0.8222222222222222,0.8222222222222222,0.0
