,task_00,task_01,task_02,task_03,task_04,task_05,task_06,task_07,task_08,task_09
after_task_00,0.7288888888888889,,,,,,,,,
after_task_01,0.0,0.8266666666666667,,,,,,,,
after_task_02,0.0,0.0,0.7933333333333333,,,,,,,
after_task_03,0.0,0.0,0.0,0.8377777777777777,,,,,,
after_task_04,0.0,0.0,0.0,0.0,0.8955555555555555,,,,,
after_task_05,0.0,0.0,0.0,0.0,0.008888888888888889,0.8555555555555555,,,,
after_task_06,0.006666666666666667,0.0,0.0,0.0022222222222222222,0.013333333333333334,0.015555555555555555,0.8577777777777778,,,
after_task_07,0.0044444444444444444,0.0,0.0,0.017777777777777778,0.011111111111111112,0.08,0.0022222222222222222,0.8733333333333333,,
after_task_08,0.022222222222222223,0.011111111111111112,0.0,0.03777777777777778,0.03111111111111111,0.06,0.006666666666666667,0.04666666666666667,0.8755555555555555,
after_task_09,0.0022222222222222222,0.03333333333333333,0.0044444444444444444,0.042222222222222223,0.03333333333333333,0.08444444444444445,0.015555555555555555,0.04888888888888889,0.04666666666666667,0.82
