task,best_accuracy,final_accuracy,forgetting
task_00,0.8044444444444444,0.2266666666666666,0.5777777777777778
task_01,0.9133333333333332,0.2155555555555555,0.6977777777777777
task_02,0.8866666666666667,0.1755555555555555,0.7111111111111112
task_03,0.8911111111111111,0.1977777777777777,0.6933333333333334
task_04,0.92,0.2555555555555555,0.6644444444444446
task_05,0.8977777777777778,0.2266666666666666,0.6711111111111112
task_06,0.8777777777777778,0.12,0.7577777777777778
task_07,0.8377777777777777,0.2555555555555555,0.5822222222222222
task_08,0.9022222222222224,0.1333333333333333,0.7688888888888891
task_09,0.8422222222222222,0.8422222222222222,0.0
