,task_00,task_01,task_02,task_03,task_04,task_05,task_06,task_07,task_08,task_09
after_task_00,0.7422222222222222,,,,,,,,,
after_task_01,0.0,0.8822222222222222,,,,,,,,
after_task_02,0.022222222222222223,0.028888888888888888,0.8733333333333333,,,,,,,
after_task_03,0.13555555555555557,0.24444444444444444,0.15555555555555556,0.8755555555555555,,,,,,
after_task_04,0.21555555555555556,0.23555555555555555,0.22666666666666666,0.12666666666666668,0.9155555555555556,,,,,
after_task_05,0.29777777777777775,0.28444444444444444,0.30666666666666664,0.2577777777777778,0.3333333333333333,0.8866666666666667,,,,
after_task_06,0.32222222222222224,0.29777777777777775,0.3844444444444444,0.37333333333333335,0.3622222222222222,0.3511111111111111,0.8711111111111111,,,
after_task_07,0.46,0.3844444444444444,0.52,0.45555555555555555,0.45111111111111113,0.4822222222222222,0.32666666666666666,0.8222222222222222,,
after_task_08,0.4777777777777778,0.4955555555555556,0.5577777777777778,0.4288888888888889,0.6044444444444445,0.56,0.4444444444444444,0.5844444444444444,0.8755555555555555,
after_task_09,0.5177777777777778,0.49333333333333335,0.5844444444444444,0.5266666666666666,0.6,0.6444444444444445,0.43555555555555553,0.64,0.4866666666666667,0.8288888888888889
