,task_00,task_01,task_02,task_03,task_04,task_05,task_06,task_07,task_08,task_09
after_task_00,0.07111111111111111,,,,,,,,,
after_task_01,0.07111111111111111,0.0,,,,,,,,
after_task_02,0.4688888888888889,0.0,0.0,,,,,,,
after_task_03,0.4688888888888889,0.0,0.0,0.0,,,,,,
after_task_04,0.7266666666666667,0.4444444444444444,0.4311111111111111,0.0,0.0,,,,,
after_task_05,0.7266666666666667,0.4444444444444444,0.4311111111111111,0.0,0.0,0.0,,,,
after_task_06,0.7244444444444444,0.6977777777777778,0.5911111111111111,0.44222222222222224,0.4111111111111111,0.013333333333333334,0.0,,,
after_task_07,0.7244444444444444,0.6977777777777778,0.5911111111111111,0.44222222222222224,0.4111111111111111,0.013333333333333334,0.0,0.0,,
after_task_08,0.64,0.78,0.7311111111111112,0.5555555555555556,0.5311111111111111,0.4777777777777778,0.18666666666666668,0.015555555555555555,0.08444444444444445,
after_task_09,0.5422222222222223,0.7511111111111111,0.6511111111111111,0.58,0.5622222222222222,0.6644444444444444,0.4622222222222222,0.4022222222222222,0.33111111111111113,0.015555555555555555
