,task_00,task_01,task_02,task_03,task_04,task_05,task_06,task_07,task_08,task_09
after_task_00,0.8044444444444444,,,,,,,,,
after_task_01,0.0,0.9133333333333333,,,,,,,,
after_task_02,0.0,0.0,0.8866666666666667,,,,,,,
after_task_03,0.0044444444444444444,0.02,0.0,0.8911111111111111,,,,,,
after_task_04,0.006666666666666667,0.006666666666666667,0.02,0.006666666666666667,0.92,,,,,
after_task_05,0.057777777777777775,0.09333333333333334,0.06,0.05333333333333334,0.1288888888888889,0.8977777777777778,,,,
after_task_06,0.06222222222222222,0.04888888888888889,0.03333333333333333,0.044444444444444446,0.07777777777777778,0.10222222222222223,0.8777777777777778,,,
after_task_07,0.23333333333333334,0.1622222222222222,0.20666666666666667,0.2288888888888889,0.18444444444444444,0.27555555555555555,0.07777777777777778,0.8377777777777777,,
after_task_08,0.14444444444444443,0.17333333333333334,0.09333333333333334,0.14888888888888888,0.18,0.13111111111111112,0.057777777777777775,0.1511111111111111,0.9022222222222223,
after_task_09,0.22666666666666666,0.21555555555555556,0.17555555555555555,0.19777777777777777,0.25555555555555554,0.22666666666666666,0.12,0.25555555555555554,0.13333333333333333,0.8422222222222222
