task,best_accuracy,final_accuracy,forgetting
task_00,0.7888888888888889,0.33111111111111113,0.45777777777777773
task_01,0.9022222222222223,0.3111111111111111,0.5911111111111111
task_02,0.8888888888888888,0.3422222222222222,0.5466666666666666
task_03,0.8844444444444445,0.3244444444444444,0.56
task_04,0.92,0.37555555555555553,0.5444444444444445
task_05,0.8888888888888888,0.3688888888888889,0.52
task_06,0.8777777777777778,0.24,0.6377777777777778
task_07,0.8355555555555556,0.4266666666666667,0.4088888888888889
task_08,0.8977777777777778,0.2644444444444444,0.6333333333333333
task_09,0.8422222222222222,0.8422222222222222,0.0
