,task_00,task_01,task_02,task_03,task_04,task_05,task_06,task_07,task_08,task_09
after_task_00,0.7888888888888889,,,,,,,,,
after_task_01,0.0,0.9022222222222223,,,,,,,,
after_task_02,0.0,0.0,0.8888888888888888,,,,,,,
after_task_03,0.022222222222222223,0.06444444444444444,0.024444444444444446,0.8844444444444445,,,,,,
after_task_04,0.024444444444444446,0.035555555555555556,0.08,0.02666666666666667,0.92,,,,,
after_task_05,0.09555555555555556,0.1288888888888889,0.08444444444444445,0.10444444444444445,0.15555555555555556,0.8888888888888888,,,,
after_task_06,0.10888888888888888,0.14444444444444443,0.12,0.13333333333333333,0.15333333333333332,0.18888888888888888,0.8777777777777778,,,
after_task_07,0.2688888888888889,0.2,0.24,0.26666666666666666,0.21777777777777776,0.32666666666666666,0.14,0.8355555555555556,,
after_task_08,0.25555555555555554,0.26,0.26222222222222225,0.21777777777777776,0.3333333333333333,0.24888888888888888,0.17333333333333334,0.3,0.8977777777777778,
after_task_09,0.33111111111111113,0.3111111111111111,0.3422222222222222,0.3244444444444444,0.37555555555555553,0.3688888888888889,0.24,0.4266666666666667,0.2644444444444444,0.8422222222222222
