task,best_accuracy,final_accuracy,forgetting
task_00,0.7644444444444445,0.44222222222222224,0.32222222222222224
task_01,0.9,0.4177777777777778,0.4822222222222222
task_02,0.8733333333333333,0.4911111111111111,0.3822222222222222
task_03,0.8777777777777778,0.45555555555555555,0.4222222222222222
task_04,0.9177777777777778,0.5111111111111111,0.40666666666666673
task_05,0.8888888888888888,0.5422222222222223,0.34666666666666657
task_06,0.8755555555555555,0.3488888888888889,0.5266666666666666
task_07,0.8266666666666667,0.5422222222222223,0.2844444444444444
task_08,0.8911111111111111,0.37333333333333335,0.5177777777777777
task_09,0.8377777777777777,0.8377777777777777,0.0
