,task_00,task_01,task_02,task_03,task_04,task_05,task_06,task_07,task_08,task_09
after_task_00,0.7644444444444445,,,,,,,,,
after_task_01,0.0,0.9,,,,,,,,
after_task_02,0.0044444444444444444,0.0022222222222222222,0.8733333333333333,,,,,,,
after_task_03,0.10444444444444445,0.17555555555555555,0.08888888888888889,0.8777777777777778,,,,,,
after_task_04,0.1,0.12222222222222222,0.15555555555555556,0.06,0.9177777777777778,,,,,
after_task_05,0.29555555555555557,0.2688888888888889,0.28444444444444444,0.20666666666666667,0.28,0.8888888888888888,,,,
after_task_06,0.2088888888888889,0.21555555555555556,0.23333333333333334,0.25333333333333335,0.26666666666666666,0.25555555555555554,0.8755555555555555,,,
after_task_07,0.46444444444444444,0.39111111111111113,0.5088888888888888,0.45111111111111113,0.4444444444444444,0.4711111111111111,0.30666666666666664,0.8266666666666667,,
after_task_08,0.37333333333333335,0.3844444444444444,0.43555555555555553,0.3288888888888889,0.49333333333333335,0.41555555555555557,0.3111111111111111,0.43555555555555553,0.8911111111111111,
after_task_09,0.44222222222222224,0.4177777777777778,0.4911111111111111,0.45555555555555555,0.5111111111111111,0.5422222222222223,0.3488888888888889,0.5422222222222223,0.37333333333333335,0.8377777777777777
