task,best_accuracy,final_accuracy,forgetting
task_00,0.7622222222222222,0.44222222222222224,0.32
task_01,0.8977777777777778,0.4066666666666667,0.4911111111111111
task_02,0.8777777777777778,0.4822222222222222,0.39555555555555555
task_03,0.8866666666666667,0.45555555555555555,0.43111111111111117
task_04,0.92,0.5044444444444445,0.41555555555555557
task_05,0.8866666666666667,0.5311111111111111,0.3555555555555556
task_06,0.8777777777777778,0.34444444444444444,0.5333333333333333
task_07,0.8288888888888889,0.5444444444444444,0.2844444444444445
task_08,0.8955555555555555,0.36666666666666664,0.528888888888889
task_09,0.8377777777777777,0.8377777777777777,0.0
