,task_00,task_01,task_02,task_03,task_04,task_05,task_06,task_07,task_08,task_09
after_task_00,0.7622222222222222,,,,,,,,,
after_task_01,0.0,0.8977777777777778,,,,,,,,
after_task_02,0.0,0.0022222222222222222,0.8777777777777778,,,,,,,
after_task_03,0.08222222222222222,0.15555555555555556,0.07555555555555556,0.8866666666666667,,,,,,
after_task_04,0.08888888888888889,0.1111111111111111,0.15333333333333332,0.06,0.92,,,,,
after_task_05,0.23777777777777778,0.21555555555555556,0.23777777777777778,0.17777777777777778,0.2577777777777778,0.8866666666666667,,,,
after_task_06,0.2,0.20222222222222222,0.22666666666666666,0.24666666666666667,0.2644444444444444,0.25555555555555554,0.8777777777777778,,,
after_task_07,0.4,0.31777777777777777,0.41333333333333333,0.3977777777777778,0.38222222222222224,0.42444444444444446,0.25333333333333335,0.8288888888888889,,
after_task_08,0.36666666666666664,0.37555555555555553,0.4311111111111111,0.32,0.4911111111111111,0.4111111111111111,0.31555555555555553,0.44,0.8955555555555555,
after_task_09,0.44222222222222224,0.4066666666666667,0.4822222222222222,0.45555555555555555,0.5044444444444445,0.5311111111111111,0.34444444444444444,0.5444444444444444,0.36666666666666664,0.8377777777777777
