task,best_accuracy,final_accuracy,forgetting
task_00,0.7422222222222222,0.5177777777777778,0.22444444444444445
task_01,0.8822222222222222,0.49333333333333335,0.3888888888888889
task_02,0.8733333333333333,0.5844444444444444,0.28888888888888886
task_03,0.8755555555555555,0.5266666666666666,0.3488888888888889
task_04,0.9155555555555556,0.6,0.3155555555555556
task_05,0.8866666666666667,0.6444444444444445,0.24222222222222223
task_06,0.8711111111111111,0.43555555555555553,0.43555555555555553
task_07,0.8222222222222222,0.64,0.18222222222222217
task_08,0.8755555555555555,0.4866666666666667,0.38888888888888884
task_09,0.8288888888888889,0.8288888888888889,0.0
