task,best_accuracy,final_accuracy,forgetting
task_00,0.7311111111111112,0.5333333333333333,0.19777777777777783
task_01,0.8866666666666667,0.5222222222222223,0.36444444444444446
task_02,0.8666666666666667,0.6044444444444445,0.26222222222222225
task_03,0.8666666666666667,0.5355555555555556,0.33111111111111113
task_04,0.9133333333333333,0.62,0.29333333333333333
task_05,0.8822222222222222,0.6688888888888889,0.21333333333333337
task_06,0.8733333333333333,0.44666666666666666,0.42666666666666664
task_07,0.8133333333333334,0.6511111111111111,0.16222222222222227
task_08,0.8755555555555555,0.5088888888888888,0.3666666666666667
task_09,0.8311111111111111,0.8311111111111111,0.0
