,task_00,task_01,task_02,task_03,task_04,task_05,task_06,task_07,task_08,task_09
after_task_00,0.7311111111111112,,,,,,,,,
after_task_01,0.0,0.8866666666666667,,,,,,,,
after_task_02,0.03333333333333333,0.028888888888888888,0.8666666666666667,,,,,,,
after_task_03,0.2733333333333333,0.31777777777777777,0.23555555555555555,0.8666666666666667,,,,,,
after_task_04,0.27111111111111114,0.2688888888888889,0.24888888888888888,0.13777777777777778,0.9133333333333333,,,,,
after_task_05,0.4488888888888889,0.37777777777777777,0.4533333333333333,0.34,0.4311111111111111,0.8822222222222222,,,,
after_task_06,0.35777777777777775,0.33555555555555555,0.42,0.38666666666666666,0.39555555555555555,0.3511111111111111,0.8733333333333333,,,
after_task_07,0.5711111111111111,0.5177777777777778,0.6711111111111111,0.5866666666666667,0.5688888888888889,0.5644444444444444,0.43777777777777777,0.8133333333333334,,
after_task_08,0.5022222222222222,0.5222222222222223,0.58,0.4577777777777778,0.62,0.5777777777777777,0.4488888888888889,0.5844444444444444,0.8755555555555555,
after_task_09,0.5333333333333333,0.5222222222222223,0.6044444444444445,0.5355555555555556,0.62,0.6688888888888889,0.44666666666666666,0.6511111111111111,0.5088888888888888,0.8311111111111111
