,task_00,task_01,task_02,task_03,task_04,task_05,task_06,task_07,task_08,task_09
after_task_00,0.96,,,,,,,,,
after_task_01,0.0,0.9488888888888889,,,,,,,,
after_task_02,0.0,0.0,0.9533333333333334,,,,,,,
after_task_03,0.0,0.0,0.0,0.9355555555555556,,,,,,
after_task_04,0.0,0.0,0.0,0.0,0.9488888888888889,,,,,
after_task_05,0.0,0.0,0.0,0.0,0.0,0.9511111111111111,,,,
after_task_06,0.0,0.0,0.0,0.0,0.0,0.0,0.9044444444444445,,,
after_task_07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9044444444444445,,
after_task_08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9111111111111111,
after_task_09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8755555555555555
