task,best_accuracy,final_accuracy,forgetting
task_00,0.9311111111111112,0.7644444444444445,0.16666666666666674
task_01,0.9533333333333334,0.8044444444444444,0.14888888888888896
task_02,0.9533333333333334,0.7911111111111111,0.16222222222222227
task_03,0.9177777777777778,0.7822222222222223,0.13555555555555554
task_04,0.9577777777777776,0.8288888888888889,0.12888888888888872
task_05,0.94,0.7977777777777778,0.14222222222222214
task_06,0.9155555555555556,0.66,0.25555555555555554
task_07,0.8955555555555555,0.7933333333333333,0.10222222222222221
task_08,0.8933333333333333,0.6733333333333333,0.21999999999999997
task_09,0.8955555555555555,0.8955555555555555,0.0
