,task_00,task_01,task_02,task_03,task_04,task_05,task_06,task_07,task_08,task_09
after_task_00,0.9311111111111111,,,,,,,,,
after_task_01,0.5711111111111111,0.9533333333333334,,,,,,,,
after_task_02,0.4777777777777778,0.62,0.9533333333333334,,,,,,,
after_task_03,0.7311111111111112,0.7866666666666666,0.7977777777777778,0.9177777777777778,,,,,,
after_task_04,0.7311111111111112,0.7977777777777778,0.74,0.6955555555555556,0.9577777777777777,,,,,
after_task_05,0.7733333333333333,0.7933333333333333,0.82,0.7955555555555556,0.8711111111111111,0.94,,,,
after_task_06,0.7066666666666667,0.7444444444444445,0.7688888888888888,0.7444444444444445,0.7311111111111112,0.7377777777777778,0.9155555555555556,,,
after_task_07,0.8133333333333334,0.78,0.82,0.8,0.8133333333333334,0.8466666666666667,0.7133333333333334,0.8955555555555555,,
after_task_08,0.8044444444444444,0.7511111111111111,0.8022222222222222,0.7422222222222222,0.7666666666666667,0.7755555555555556,0.7066666666666667,0.78,0.8933333333333333,
after_task_09,0.7644444444444445,0.8044444444444444,0.7911111111111111,0.7822222222222223,0.8288888888888889,0.7977777777777778,0.66,0.7933333333333333,0.6733333333333333,0.8955555555555555
