task,best_accuracy,final_accuracy,forgetting
task_00,0.9333333333333332,0.7911111111111111,0.14222222222222214
task_01,0.9466666666666668,0.7711111111111111,0.1755555555555557
task_02,0.9555555555555556,0.7777777777777778,0.1777777777777778
task_03,0.9377777777777778,0.7666666666666667,0.1711111111111111
task_04,0.9577777777777776,0.8044444444444444,0.1533333333333332
task_05,0.9466666666666668,0.8133333333333334,0.13333333333333341
task_06,0.9288888888888888,0.6733333333333333,0.2555555555555554
task_07,0.9177777777777778,0.8133333333333334,0.10444444444444445
task_08,0.8866666666666667,0.6266666666666667,0.26
task_09,0.8866666666666667,0.8866666666666667,0.0
