,task_00,task_01,task_02,task_03,task_04,task_05,task_06,task_07,task_08,task_09
after_task_00,0.9377777777777778,,,,,,,,,
after_task_01,0.45111111111111113,0.9444444444444444,,,,,,,,
after_task_02,0.41555555555555557,0.6,0.96,,,,,,,
after_task_03,0.6266666666666667,0.6911111111111111,0.6755555555555556,0.94,,,,,,
after_task_04,0.7711111111111111,0.8,0.8,0.7177777777777777,0.96,,,,,
after_task_05,0.7577777777777778,0.7488888888888889,0.7622222222222222,0.72,0.8022222222222222,0.9511111111111111,,,,
after_task_06,0.7288888888888889,0.76,0.7533333333333333,0.72,0.7266666666666667,0.78,0.9222222222222223,,,
after_task_07,0.7711111111111111,0.7288888888888889,0.7955555555555556,0.8022222222222222,0.7622222222222222,0.7866666666666666,0.7,0.9044444444444445,,
after_task_08,0.8,0.7977777777777778,0.8,0.7644444444444445,0.8088888888888889,0.7555555555555555,0.6888888888888889,0.7911111111111111,0.9066666666666666,
after_task_09,0.7688888888888888,0.8044444444444444,0.8,0.7533333333333333,0.8044444444444444,0.7755555555555556,0.7244444444444444,0.7955555555555556,0.7066666666666667,0.8911111111111111
