,task_00,task_01,task_02,task_03,task_04,task_05,task_06,task_07,task_08,task_09
after_task_00,0.9088888888888889,,,,,,,,,
after_task_01,0.5577777777777778,0.9511111111111111,,,,,,,,
after_task_02,0.48444444444444446,0.6311111111111111,0.9644444444444444,,,,,,,
after_task_03,0.7666666666666667,0.8488888888888889,0.8066666666666666,0.9155555555555556,,,,,,
after_task_04,0.7311111111111112,0.7244444444444444,0.7288888888888889,0.6466666666666666,0.9622222222222222,,,,,
after_task_05,0.7733333333333333,0.84,0.8311111111111111,0.8022222222222222,0.8533333333333334,0.9466666666666667,,,,
after_task_06,0.7377777777777778,0.7711111111111111,0.7533333333333333,0.7422222222222222,0.7666666666666667,0.7711111111111111,0.8844444444444445,,,
after_task_07,0.8222222222222222,0.82,0.8377777777777777,0.8133333333333334,0.8333333333333334,0.8511111111111112,0.7577777777777778,0.8622222222222222,,
after_task_08,0.7666666666666667,0.7688888888888888,0.7955555555555556,0.7533333333333333,0.7777777777777778,0.7777777777777778,0.7422222222222222,0.7755555555555556,0.8777777777777778,
after_task_09,0.7622222222222222,0.7844444444444445,0.8155555555555556,0.7777777777777778,0.7933333333333333,0.7888888888888889,0.7288888888888889,0.8466666666666667,0.6933333333333334,0.9
