,task_00,task_01,task_02,task_03,task_04,task_05,task_06,task_07,task_08,task_09
after_task_00,0.2777777777777778,,,,,,,,,
after_task_01,0.2777777777777778,0.0,,,,,,,,
after_task_02,0.6866666666666666,0.6311111111111111,0.6088888888888889,,,,,,,
after_task_03,0.6866666666666666,0.6311111111111111,0.6088888888888889,0.0,,,,,,
after_task_04,0.6911111111111111,0.78,0.86,0.45111111111111113,0.4955555555555556,,,,,
after_task_05,0.6911111111111111,0.78,0.86,0.45111111111111113,0.4955555555555556,0.0,,,,
after_task_06,0.7133333333333334,0.8044444444444444,0.8466666666666667,0.6955555555555556,0.7377777777777778,0.5444444444444444,0.4177777777777778,,,
after_task_07,0.7133333333333334,0.8044444444444444,0.8466666666666667,0.6955555555555556,0.7377777777777778,0.5444444444444444,0.4177777777777778,0.0,,
after_task_08,0.6977777777777778,0.78,0.7777777777777778,0.6888888888888889,0.7311111111111112,0.7333333333333333,0.5911111111111111,0.43333333333333335,0.3088888888888889,
after_task_09,0.6955555555555556,0.7244444444444444,0.7911111111111111,0.7244444444444444,0.7066666666666667,0.7711111111111111,0.6622222222222223,0.6244444444444445,0.6466666666666666,0.3
