,task_00,task_01,task_02,task_03,task_04,task_05,task_06,task_07,task_08,task_09
after_task_00,0.9066666666666666,,,,,,,,,
after_task_01,0.4666666666666667,0.96,,,,,,,,
after_task_02,0.49777777777777776,0.62,0.9711111111111111,,,,,,,
after_task_03,0.6711111111111111,0.7444444444444445,0.6933333333333334,0.9377777777777778,,,,,,
after_task_04,0.7422222222222222,0.7866666666666666,0.7355555555555555,0.6622222222222223,0.96,,,,,
after_task_05,0.7422222222222222,0.7711111111111111,0.7755555555555556,0.7666666666666667,0.8088888888888889,0.9644444444444444,,,,
after_task_06,0.6955555555555556,0.7533333333333333,0.6822222222222222,0.7311111111111112,0.7066666666666667,0.7911111111111111,0.92,,,
after_task_07,0.7933333333333333,0.7733333333333333,0.7866666666666666,0.8066666666666666,0.7555555555555555,0.7688888888888888,0.74,0.9177777777777778,,
after_task_08,0.7666666666666667,0.7911111111111111,0.7488888888888889,0.7533333333333333,0.7977777777777778,0.8,0.6888888888888889,0.8044444444444444,0.8977777777777778,
after_task_09,0.7911111111111111,0.8355555555555556,0.7622222222222222,0.7977777777777778,0.8088888888888889,0.8022222222222222,0.7266666666666667,0.7911111111111111,0.7133333333333334,0.9111111111111111
