,task_00,task_01,task_02,task_03,task_04,task_05,task_06,task_07,task_08,task_09
after_task_00,0.88,,,,,,,,,
after_task_01,0.49777777777777776,0.9488888888888889,,,,,,,,
after_task_02,0.43333333333333335,0.6133333333333333,0.9533333333333334,,,,,,,
after_task_03,0.6711111111111111,0.6888888888888889,0.6955555555555556,0.9377777777777778,,,,,,
after_task_04,0.7177777777777777,0.8133333333333334,0.7488888888888889,0.6577777777777778,0.9311111111111111,,,,,
after_task_05,0.7244444444444444,0.7088888888888889,0.7622222222222222,0.7111111111111111,0.8088888888888889,0.9555555555555556,,,,
after_task_06,0.6977777777777778,0.76,0.7733333333333333,0.7533333333333333,0.7755555555555556,0.7444444444444445,0.9222222222222223,,,
after_task_07,0.7355555555555555,0.6911111111111111,0.8155555555555556,0.7955555555555556,0.7511111111111111,0.7777777777777778,0.6711111111111111,0.92,,
after_task_08,0.7244444444444444,0.7333333333333333,0.7844444444444445,0.7288888888888889,0.78,0.7933333333333333,0.6888888888888889,0.7355555555555555,0.9111111111111111,
after_task_09,0.7533333333333333,0.7644444444444445,0.7933333333333333,0.7933333333333333,0.8333333333333334,0.7777777777777778,0.7288888888888889,0.78,0.7133333333333334,0.8977777777777778
