task,best_accuracy,final_accuracy,forgetting
task_00,0.9177777777777778,0.0,0.9177777777777778
task_01,0.9444444444444444,0.0,0.9444444444444444
task_02,0.9644444444444444,0.0,0.9644444444444444
task_03,0.9288888888888888,0.0,0.9288888888888888
task_04,0.9577777777777776,0.0,0.9577777777777776
task_05,0.96,0.0,0.96
task_06,0.9177777777777778,0.0,0.9177777777777778
task_07,0.9133333333333332,0.0,0.9133333333333332
task_08,0.9288888888888888,0.0,0.9288888888888888
task_09,0.8977777777777778,0.8977777777777778,0.0
