,task_00,task_01,task_02,task_03,task_04,task_05,task_06,task_07,task_08,task_09
after_task_00,0.9177777777777778,,,,,,,,,
after_task_01,0.0,0.9444444444444444,,,,,,,,
after_task_02,0.0,0.0,0.9644444444444444,,,,,,,
after_task_03,0.0,0.0,0.0,0.9288888888888889,,,,,,
after_task_04,0.0,0.0,0.0,0.0,0.9577777777777777,,,,,
after_task_05,0.0,0.0,0.0,0.0,0.0044444444444444444,0.96,,,,
after_task_06,0.0,0.0,0.0,0.0,0.0,0.0,0.9177777777777778,,,
after_task_07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9133333333333333,,
after_task_08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9288888888888889,
after_task_09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8977777777777778
